accession	description
"BKZX01000000.1"	"Fagus crenata isolate MieU_EA384, whole genome shotgun sequencing project."
"BSWM01000000.1"	"Fagus crenata isolate MieU_EA384, whole genome shotgun sequencing project."
"BSWN01000000.1"	"Fagus crenata isolate MieU_EA384, whole genome shotgun sequencing project."
