accession	description
"GCA_014362285.1"	"Fagus_crenata_1.0 assembly for Fagus crenata"
"GCA_015099395.1"	"ASM1509939v1 assembly for Ktedonobacteria bacterium brp13"
"GCA_003574315.2"	"ASM357431v2 assembly for Capsulimonas corticalis"
"GCA_003574315.1"	"ASM357431v1 assembly for Capsulimonas corticalis"
"GCA_023734755.1"	"ASM2373475v1 assembly for Lactococcus lactis"
