accession	description
"DC655627"	"Fagus crenata mRNA, clone: Fc_TUM08_12O14, 5'end sequence, expressed in inner bark."
"DC655172"	"Fagus crenata mRNA, clone: Fc_TUM08_11J01, 5'end sequence, expressed in inner bark."
"DC654169"	"Fagus crenata mRNA, clone: Fc_TUM08_08M11, 5'end sequence, expressed in inner bark."
"DC653277"	"Fagus crenata mRNA, clone: Fc_TUM08_06D11, 5'end sequence, expressed in inner bark."
"DC652916"	"Fagus crenata mRNA, clone: Fc_TUM08_05D04, 5'end sequence, expressed in inner bark."
"DC654602"	"Fagus crenata mRNA, clone: Fc_TUM08_09P12, 5'end sequence, expressed in inner bark."
"DC656699"	"Fagus crenata mRNA, clone: Fc_TUM08_16A19, 5'end sequence, expressed in inner bark."
"OM323047"	"Fagus crenata isolate JYAKU_4 clone 4 LEAFY protein (LEAFY) gene, partial cds."
"DC656113"	"Fagus crenata mRNA, clone: Fc_TUM08_14E20, 5'end sequence, expressed in inner bark."
"DC655089"	"Fagus crenata mRNA, clone: Fc_TUM08_11F09, 5'end sequence, expressed in inner bark."
"DC655272"	"Fagus crenata mRNA, clone: Fc_TUM08_11N12, 5'end sequence, expressed in inner bark."
"DC652715"	"Fagus crenata mRNA, clone: Fc_TUM08_04J24, 5'end sequence, expressed in inner bark."
"DC655776"	"Fagus crenata mRNA, clone: Fc_TUM08_13F08, 5'end sequence, expressed in inner bark."
"DC656328"	"Fagus crenata mRNA, clone: Fc_TUM08_14O10, 5'end sequence, expressed in inner bark."
"DC652168"	"Fagus crenata mRNA, clone: Fc_TUM08_03B09, 5'end sequence, expressed in inner bark."
"DC654532"	"Fagus crenata mRNA, clone: Fc_TUM08_09M13, 5'end sequence, expressed in inner bark."
"DC657230"	"Fagus crenata mRNA, clone: Fc_TUM08_17J04, 5'end sequence, expressed in inner bark."
"DC656753"	"Fagus crenata mRNA, clone: Fc_TUM08_16D09, 5'end sequence, expressed in inner bark."
"DC654011"	"Fagus crenata mRNA, clone: Fc_TUM08_08F04, 5'end sequence, expressed in inner bark."
"DC653207"	"Fagus crenata mRNA, clone: Fc_TUM08_06A08, 5'end sequence, expressed in inner bark."
"DC653791"	"Fagus crenata mRNA, clone: Fc_TUM08_07L10, 5'end sequence, expressed in inner bark."
"DC656516"	"Fagus crenata mRNA, clone: Fc_TUM08_15I10, 5'end sequence, expressed in inner bark."
"DC654495"	"Fagus crenata mRNA, clone: Fc_TUM08_09K24, 5'end sequence, expressed in inner bark."
"DC654151"	"Fagus crenata mRNA, clone: Fc_TUM08_08L12, 5'end sequence, expressed in inner bark."
"DC654552"	"Fagus crenata mRNA, clone: Fc_TUM08_09N09, 5'end sequence, expressed in inner bark."
"DC654943"	"Fagus crenata mRNA, clone: Fc_TUM08_10O20, 5'end sequence, expressed in inner bark."
"DC656626"	"Fagus crenata mRNA, clone: Fc_TUM08_15N11, 5'end sequence, expressed in inner bark."
"DC654688"	"Fagus crenata mRNA, clone: Fc_TUM08_10D06, 5'end sequence, expressed in inner bark."
"DC652249"	"Fagus crenata mRNA, clone: Fc_TUM08_03F06, 5'end sequence, expressed in inner bark."
"DC654310"	"Fagus crenata mRNA, clone: Fc_TUM08_09C18, 5'end sequence, expressed in inner bark."
"DC655257"	"Fagus crenata mRNA, clone: Fc_TUM08_11M20, 5'end sequence, expressed in inner bark."
"DC653359"	"Fagus crenata mRNA, clone: Fc_TUM08_06G24, 5'end sequence, expressed in inner bark."
"DC656980"	"Fagus crenata mRNA, clone: Fc_TUM08_16N17, 5'end sequence, expressed in inner bark."
"DC656267"	"Fagus crenata mRNA, clone: Fc_TUM08_14L17, 5'end sequence, expressed in inner bark."
"DC655629"	"Fagus crenata mRNA, clone: Fc_TUM08_12O16, 5'end sequence, expressed in inner bark."
"DC655850"	"Fagus crenata mRNA, clone: Fc_TUM08_13I15, 5'end sequence, expressed in inner bark."
"DC657175"	"Fagus crenata mRNA, clone: Fc_TUM08_17G15, 5'end sequence, expressed in inner bark."
"DC656911"	"Fagus crenata mRNA, clone: Fc_TUM08_16K14, 5'end sequence, expressed in inner bark."
"DC652063"	"Fagus crenata mRNA, clone: Fc_TUM08_02A07, 5'end sequence, expressed in inner bark."
"DC655953"	"Fagus crenata mRNA, clone: Fc_TUM08_13N10, 5'end sequence, expressed in inner bark."
"DC654027"	"Fagus crenata mRNA, clone: Fc_TUM08_08F21, 5'end sequence, expressed in inner bark."
"DC653254"	"Fagus crenata mRNA, clone: Fc_TUM08_06C10, 5'end sequence, expressed in inner bark."
"DC657314"	"Fagus crenata mRNA, clone: Fc_TUM08_17M21, 5'end sequence, expressed in inner bark."
"DC656470"	"Fagus crenata mRNA, clone: Fc_TUM08_15G07, 5'end sequence, expressed in inner bark."
"DC653242"	"Fagus crenata mRNA, clone: Fc_TUM08_06B21, 5'end sequence, expressed in inner bark."
"DC654913"	"Fagus crenata mRNA, clone: Fc_TUM08_10N13, 5'end sequence, expressed in inner bark."
"DC653387"	"Fagus crenata mRNA, clone: Fc_TUM08_06I06, 5'end sequence, expressed in inner bark."
"DC653993"	"Fagus crenata mRNA, clone: Fc_TUM08_08E05, 5'end sequence, expressed in inner bark."
"DC652444"	"Fagus crenata mRNA, clone: Fc_TUM08_03O05, 5'end sequence, expressed in inner bark."
"DC652971"	"Fagus crenata mRNA, clone: Fc_TUM08_05F14, 5'end sequence, expressed in inner bark."
"DC656246"	"Fagus crenata mRNA, clone: Fc_TUM08_14K20, 5'end sequence, expressed in inner bark."
"DC655975"	"Fagus crenata mRNA, clone: Fc_TUM08_13O09, 5'end sequence, expressed in inner bark."
"DC654664"	"Fagus crenata mRNA, clone: Fc_TUM08_10C04, 5'end sequence, expressed in inner bark."
"DC656961"	"Fagus crenata mRNA, clone: Fc_TUM08_16M20, 5'end sequence, expressed in inner bark."
"DC656078"	"Fagus crenata mRNA, clone: Fc_TUM08_14D04, 5'end sequence, expressed in inner bark."
"DC654682"	"Fagus crenata mRNA, clone: Fc_TUM08_10C22, 5'end sequence, expressed in inner bark."
"DC656763"	"Fagus crenata mRNA, clone: Fc_TUM08_16D20, 5'end sequence, expressed in inner bark."
"DC655075"	"Fagus crenata mRNA, clone: Fc_TUM08_11E19, 5'end sequence, expressed in inner bark."
"DC657315"	"Fagus crenata mRNA, clone: Fc_TUM08_17M22, 5'end sequence, expressed in inner bark."
"DC655773"	"Fagus crenata mRNA, clone: Fc_TUM08_13F05, 5'end sequence, expressed in inner bark."
"DC655134"	"Fagus crenata mRNA, clone: Fc_TUM08_11H08, 5'end sequence, expressed in inner bark."
"DC652863"	"Fagus crenata mRNA, clone: Fc_TUM08_05A16, 5'end sequence, expressed in inner bark."
"DC657103"	"Fagus crenata mRNA, clone: Fc_TUM08_17D09, 5'end sequence, expressed in inner bark."
"DC652111"	"Fagus crenata mRNA, clone: Fc_TUM08_02F06, 5'end sequence, expressed in inner bark."
"OM323078"	"Fagus crenata isolate HAKU_2 clone 6 LEAFY protein (LEAFY) gene, partial cds."
"DC653169"	"Fagus crenata mRNA, clone: Fc_TUM08_05O15, 5'end sequence, expressed in inner bark."
"DC657287"	"Fagus crenata mRNA, clone: Fc_TUM08_17L16, 5'end sequence, expressed in inner bark."
"DC655484"	"Fagus crenata mRNA, clone: Fc_TUM08_12H24, 5'end sequence, expressed in inner bark."
"DC656509"	"Fagus crenata mRNA, clone: Fc_TUM08_15I02, 5'end sequence, expressed in inner bark."
"DC654803"	"Fagus crenata mRNA, clone: Fc_TUM08_10I10, 5'end sequence, expressed in inner bark."
"DC653797"	"Fagus crenata mRNA, clone: Fc_TUM08_07L16, 5'end sequence, expressed in inner bark."
"DC656658"	"Fagus crenata mRNA, clone: Fc_TUM08_15O23, 5'end sequence, expressed in inner bark."
"DC655836"	"Fagus crenata mRNA, clone: Fc_TUM08_13H24, 5'end sequence, expressed in inner bark."
"DC652984"	"Fagus crenata mRNA, clone: Fc_TUM08_05G04, 5'end sequence, expressed in inner bark."
"DC655101"	"Fagus crenata mRNA, clone: Fc_TUM08_11F21, 5'end sequence, expressed in inner bark."
"DC655939"	"Fagus crenata mRNA, clone: Fc_TUM08_13M19, 5'end sequence, expressed in inner bark."
"DC656914"	"Fagus crenata mRNA, clone: Fc_TUM08_16K17, 5'end sequence, expressed in inner bark."
"DC654294"	"Fagus crenata mRNA, clone: Fc_TUM08_09C01, 5'end sequence, expressed in inner bark."
"DC653952"	"Fagus crenata mRNA, clone: Fc_TUM08_08C10, 5'end sequence, expressed in inner bark."
"DC656280"	"Fagus crenata mRNA, clone: Fc_TUM08_14M07, 5'end sequence, expressed in inner bark."
"DC654189"	"Fagus crenata mRNA, clone: Fc_TUM08_08N09, 5'end sequence, expressed in inner bark."
"DC654926"	"Fagus crenata mRNA, clone: Fc_TUM08_10O03, 5'end sequence, expressed in inner bark."
"DC655133"	"Fagus crenata mRNA, clone: Fc_TUM08_11H07, 5'end sequence, expressed in inner bark."
"DC656134"	"Fagus crenata mRNA, clone: Fc_TUM08_14F18, 5'end sequence, expressed in inner bark."
"DC655812"	"Fagus crenata mRNA, clone: Fc_TUM08_13G22, 5'end sequence, expressed in inner bark."
"DC654289"	"Fagus crenata mRNA, clone: Fc_TUM08_09B20, 5'end sequence, expressed in inner bark."
"DC655841"	"Fagus crenata mRNA, clone: Fc_TUM08_13I05, 5'end sequence, expressed in inner bark."
"DC652527"	"Fagus crenata mRNA, clone: Fc_TUM08_04B17, 5'end sequence, expressed in inner bark."
"DC656770"	"Fagus crenata mRNA, clone: Fc_TUM08_16E03, 5'end sequence, expressed in inner bark."
"DC657137"	"Fagus crenata mRNA, clone: Fc_TUM08_17E23, 5'end sequence, expressed in inner bark."
"DC654678"	"Fagus crenata mRNA, clone: Fc_TUM08_10C18, 5'end sequence, expressed in inner bark."
"DC656413"	"Fagus crenata mRNA, clone: Fc_TUM08_15D09, 5'end sequence, expressed in inner bark."
"DC656020"	"Fagus crenata mRNA, clone: Fc_TUM08_14A12, 5'end sequence, expressed in inner bark."
"DC657087"	"Fagus crenata mRNA, clone: Fc_TUM08_17C17, 5'end sequence, expressed in inner bark."
"DC653213"	"Fagus crenata mRNA, clone: Fc_TUM08_06A14, 5'end sequence, expressed in inner bark."
"DC653760"	"Fagus crenata mRNA, clone: Fc_TUM08_07J24, 5'end sequence, expressed in inner bark."
"DC653788"	"Fagus crenata mRNA, clone: Fc_TUM08_07L07, 5'end sequence, expressed in inner bark."
"DC652257"	"Fagus crenata mRNA, clone: Fc_TUM08_03F14, 5'end sequence, expressed in inner bark."
"DC653184"	"Fagus crenata mRNA, clone: Fc_TUM08_05P08, 5'end sequence, expressed in inner bark."
"DC655364"	"Fagus crenata mRNA, clone: Fc_TUM08_12C01, 5'end sequence, expressed in inner bark."
"DC655019"	"Fagus crenata mRNA, clone: Fc_TUM08_11C06, 5'end sequence, expressed in inner bark."
"DC655631"	"Fagus crenata mRNA, clone: Fc_TUM08_12O18, 5'end sequence, expressed in inner bark."
"DC656728"	"Fagus crenata mRNA, clone: Fc_TUM08_16C05, 5'end sequence, expressed in inner bark."
"DC655580"	"Fagus crenata mRNA, clone: Fc_TUM08_12M09, 5'end sequence, expressed in inner bark."
"DC653339"	"Fagus crenata mRNA, clone: Fc_TUM08_06G04, 5'end sequence, expressed in inner bark."
"DC655224"	"Fagus crenata mRNA, clone: Fc_TUM08_11L09, 5'end sequence, expressed in inner bark."
"DC653510"	"Fagus crenata mRNA, clone: Fc_TUM08_06N19, 5'end sequence, expressed in inner bark."
"DC656198"	"Fagus crenata mRNA, clone: Fc_TUM08_14I14, 5'end sequence, expressed in inner bark."
"DC653631"	"Fagus crenata mRNA, clone: Fc_TUM08_07D08, 5'end sequence, expressed in inner bark."
"DC656316"	"Fagus crenata mRNA, clone: Fc_TUM08_14N21, 5'end sequence, expressed in inner bark."
"DC655193"	"Fagus crenata mRNA, clone: Fc_TUM08_11J24, 5'end sequence, expressed in inner bark."
"DC653442"	"Fagus crenata mRNA, clone: Fc_TUM08_06K15, 5'end sequence, expressed in inner bark."
"DC652681"	"Fagus crenata mRNA, clone: Fc_TUM08_04I11, 5'end sequence, expressed in inner bark."
"DC655251"	"Fagus crenata mRNA, clone: Fc_TUM08_11M13, 5'end sequence, expressed in inner bark."
"DC656750"	"Fagus crenata mRNA, clone: Fc_TUM08_16D06, 5'end sequence, expressed in inner bark."
"DC656338"	"Fagus crenata mRNA, clone: Fc_TUM08_14O22, 5'end sequence, expressed in inner bark."
"DC654069"	"Fagus crenata mRNA, clone: Fc_TUM08_08H18, 5'end sequence, expressed in inner bark."
"DC655045"	"Fagus crenata mRNA, clone: Fc_TUM08_11D12, 5'end sequence, expressed in inner bark."
"DC654607"	"Fagus crenata mRNA, clone: Fc_TUM08_09P17, 5'end sequence, expressed in inner bark."
"DC652592"	"Fagus crenata mRNA, clone: Fc_TUM08_04E12, 5'end sequence, expressed in inner bark."
"DC652292"	"Fagus crenata mRNA, clone: Fc_TUM08_03H02, 5'end sequence, expressed in inner bark."
"DC654636"	"Fagus crenata mRNA, clone: Fc_TUM08_10A22, 5'end sequence, expressed in inner bark."
"DC656291"	"Fagus crenata mRNA, clone: Fc_TUM08_14M19, 5'end sequence, expressed in inner bark."
"DC655843"	"Fagus crenata mRNA, clone: Fc_TUM08_13I07, 5'end sequence, expressed in inner bark."
"DC653082"	"Fagus crenata mRNA, clone: Fc_TUM08_05K14, 5'end sequence, expressed in inner bark."
"DC655044"	"Fagus crenata mRNA, clone: Fc_TUM08_11D10, 5'end sequence, expressed in inner bark."
"DC653247"	"Fagus crenata mRNA, clone: Fc_TUM08_06C03, 5'end sequence, expressed in inner bark."
"DC653737"	"Fagus crenata mRNA, clone: Fc_TUM08_07I23, 5'end sequence, expressed in inner bark."
"DC657340"	"Fagus crenata mRNA, clone: Fc_TUM08_17O01, 5'end sequence, expressed in inner bark."
"DC655393"	"Fagus crenata mRNA, clone: Fc_TUM08_12D10, 5'end sequence, expressed in inner bark."
"DC652180"	"Fagus crenata mRNA, clone: Fc_TUM08_03B23, 5'end sequence, expressed in inner bark."
"DC652304"	"Fagus crenata mRNA, clone: Fc_TUM08_03H16, 5'end sequence, expressed in inner bark."
"DC657005"	"Fagus crenata mRNA, clone: Fc_TUM08_16O21, 5'end sequence, expressed in inner bark."
"DC656879"	"Fagus crenata mRNA, clone: Fc_TUM08_16I24, 5'end sequence, expressed in inner bark."
"DC655471"	"Fagus crenata mRNA, clone: Fc_TUM08_12H10, 5'end sequence, expressed in inner bark."
"DC653541"	"Fagus crenata mRNA, clone: Fc_TUM08_06P02, 5'end sequence, expressed in inner bark."
"DC652315"	"Fagus crenata mRNA, clone: Fc_TUM08_03I05, 5'end sequence, expressed in inner bark."
"DC653114"	"Fagus crenata mRNA, clone: Fc_TUM08_05M03, 5'end sequence, expressed in inner bark."
"DC653494"	"Fagus crenata mRNA, clone: Fc_TUM08_06N03, 5'end sequence, expressed in inner bark."
"DC653877"	"Fagus crenata mRNA, clone: Fc_TUM08_07P02, 5'end sequence, expressed in inner bark."
"DC654489"	"Fagus crenata mRNA, clone: Fc_TUM08_09K18, 5'end sequence, expressed in inner bark."
"DC656180"	"Fagus crenata mRNA, clone: Fc_TUM08_14H18, 5'end sequence, expressed in inner bark."
"DC654606"	"Fagus crenata mRNA, clone: Fc_TUM08_09P16, 5'end sequence, expressed in inner bark."
"DC656108"	"Fagus crenata mRNA, clone: Fc_TUM08_14E15, 5'end sequence, expressed in inner bark."
"DC657010"	"Fagus crenata mRNA, clone: Fc_TUM08_16P02, 5'end sequence, expressed in inner bark."
"DC656124"	"Fagus crenata mRNA, clone: Fc_TUM08_14F07, 5'end sequence, expressed in inner bark."
"DC656244"	"Fagus crenata mRNA, clone: Fc_TUM08_14K17, 5'end sequence, expressed in inner bark."
"DC653502"	"Fagus crenata mRNA, clone: Fc_TUM08_06N11, 5'end sequence, expressed in inner bark."
"DC656471"	"Fagus crenata mRNA, clone: Fc_TUM08_15G09, 5'end sequence, expressed in inner bark."
"DC654637"	"Fagus crenata mRNA, clone: Fc_TUM08_10A23, 5'end sequence, expressed in inner bark."
"DC656187"	"Fagus crenata mRNA, clone: Fc_TUM08_14I03, 5'end sequence, expressed in inner bark."
"DC652191"	"Fagus crenata mRNA, clone: Fc_TUM08_03C13, 5'end sequence, expressed in inner bark."
"DC653330"	"Fagus crenata mRNA, clone: Fc_TUM08_06F19, 5'end sequence, expressed in inner bark."
"DC652215"	"Fagus crenata mRNA, clone: Fc_TUM08_03D15, 5'end sequence, expressed in inner bark."
"DC652882"	"Fagus crenata mRNA, clone: Fc_TUM08_05B15, 5'end sequence, expressed in inner bark."
"DC652733"	"Fagus crenata mRNA, clone: Fc_TUM08_04K19, 5'end sequence, expressed in inner bark."
"DC654642"	"Fagus crenata mRNA, clone: Fc_TUM08_10B04, 5'end sequence, expressed in inner bark."
"DC656609"	"Fagus crenata mRNA, clone: Fc_TUM08_15M17, 5'end sequence, expressed in inner bark."
"DC656630"	"Fagus crenata mRNA, clone: Fc_TUM08_15N15, 5'end sequence, expressed in inner bark."
"DC654174"	"Fagus crenata mRNA, clone: Fc_TUM08_08M17, 5'end sequence, expressed in inner bark."
"DC653677"	"Fagus crenata mRNA, clone: Fc_TUM08_07F17, 5'end sequence, expressed in inner bark."
"DC654775"	"Fagus crenata mRNA, clone: Fc_TUM08_10H05, 5'end sequence, expressed in inner bark."
"DC654592"	"Fagus crenata mRNA, clone: Fc_TUM08_09P02, 5'end sequence, expressed in inner bark."
"DC656396"	"Fagus crenata mRNA, clone: Fc_TUM08_15C07, 5'end sequence, expressed in inner bark."
"DC653075"	"Fagus crenata mRNA, clone: Fc_TUM08_05K05, 5'end sequence, expressed in inner bark."
"DC654161"	"Fagus crenata mRNA, clone: Fc_TUM08_08L23, 5'end sequence, expressed in inner bark."
"DC657306"	"Fagus crenata mRNA, clone: Fc_TUM08_17M12, 5'end sequence, expressed in inner bark."
"DC655707"	"Fagus crenata mRNA, clone: Fc_TUM08_13C06, 5'end sequence, expressed in inner bark."
"DC653284"	"Fagus crenata mRNA, clone: Fc_TUM08_06D19, 5'end sequence, expressed in inner bark."
"DC653057"	"Fagus crenata mRNA, clone: Fc_TUM08_05J09, 5'end sequence, expressed in inner bark."
"DC653280"	"Fagus crenata mRNA, clone: Fc_TUM08_06D14, 5'end sequence, expressed in inner bark."
"DC656635"	"Fagus crenata mRNA, clone: Fc_TUM08_15N20, 5'end sequence, expressed in inner bark."
"DC655321"	"Fagus crenata mRNA, clone: Fc_TUM08_11P22, 5'end sequence, expressed in inner bark."
"DC652767"	"Fagus crenata mRNA, clone: Fc_TUM08_04M07, 5'end sequence, expressed in inner bark."
"DC652684"	"Fagus crenata mRNA, clone: Fc_TUM08_04I14, 5'end sequence, expressed in inner bark."
"DC655472"	"Fagus crenata mRNA, clone: Fc_TUM08_12H11, 5'end sequence, expressed in inner bark."
"DC653264"	"Fagus crenata mRNA, clone: Fc_TUM08_06C21, 5'end sequence, expressed in inner bark."
"DC652488"	"Fagus crenata mRNA, clone: Fc_TUM08_04A02, 5'end sequence, expressed in inner bark."
"DC656240"	"Fagus crenata mRNA, clone: Fc_TUM08_14K13, 5'end sequence, expressed in inner bark."
"DC654633"	"Fagus crenata mRNA, clone: Fc_TUM08_10A19, 5'end sequence, expressed in inner bark."
"DC656221"	"Fagus crenata mRNA, clone: Fc_TUM08_14J14, 5'end sequence, expressed in inner bark."
"DC657057"	"Fagus crenata mRNA, clone: Fc_TUM08_17B07, 5'end sequence, expressed in inner bark."
"DC655094"	"Fagus crenata mRNA, clone: Fc_TUM08_11F14, 5'end sequence, expressed in inner bark."
"DC653342"	"Fagus crenata mRNA, clone: Fc_TUM08_06G07, 5'end sequence, expressed in inner bark."
"DC655443"	"Fagus crenata mRNA, clone: Fc_TUM08_12F22, 5'end sequence, expressed in inner bark."
"DC653904"	"Fagus crenata mRNA, clone: Fc_TUM08_08A07, 5'end sequence, expressed in inner bark."
"DC656521"	"Fagus crenata mRNA, clone: Fc_TUM08_15I15, 5'end sequence, expressed in inner bark."
"DC656965"	"Fagus crenata mRNA, clone: Fc_TUM08_16M24, 5'end sequence, expressed in inner bark."
"DC652840"	"Fagus crenata mRNA, clone: Fc_TUM08_04P13, 5'end sequence, expressed in inner bark."
"DC652652"	"Fagus crenata mRNA, clone: Fc_TUM08_04H05, 5'end sequence, expressed in inner bark."
"DC655537"	"Fagus crenata mRNA, clone: Fc_TUM08_12K10, 5'end sequence, expressed in inner bark."
"DC655840"	"Fagus crenata mRNA, clone: Fc_TUM08_13I04, 5'end sequence, expressed in inner bark."
"OM323061"	"Fagus crenata isolate HAYA_35 clone 6 LEAFY protein (LEAFY) gene, partial cds."
"DC657109"	"Fagus crenata mRNA, clone: Fc_TUM08_17D15, 5'end sequence, expressed in inner bark."
"DC655862"	"Fagus crenata mRNA, clone: Fc_TUM08_13J04, 5'end sequence, expressed in inner bark."
"DC657320"	"Fagus crenata mRNA, clone: Fc_TUM08_17N03, 5'end sequence, expressed in inner bark."
"DC652567"	"Fagus crenata mRNA, clone: Fc_TUM08_04D10, 5'end sequence, expressed in inner bark."
"DC654377"	"Fagus crenata mRNA, clone: Fc_TUM08_09F21, 5'end sequence, expressed in inner bark."
"DC652366"	"Fagus crenata mRNA, clone: Fc_TUM08_03K13, 5'end sequence, expressed in inner bark."
"DC656977"	"Fagus crenata mRNA, clone: Fc_TUM08_16N14, 5'end sequence, expressed in inner bark."
"DC655723"	"Fagus crenata mRNA, clone: Fc_TUM08_13C23, 5'end sequence, expressed in inner bark."
"DC657255"	"Fagus crenata mRNA, clone: Fc_TUM08_17K07, 5'end sequence, expressed in inner bark."
"DC652223"	"Fagus crenata mRNA, clone: Fc_TUM08_03D24, 5'end sequence, expressed in inner bark."
"DC655229"	"Fagus crenata mRNA, clone: Fc_TUM08_11L14, 5'end sequence, expressed in inner bark."
"DC656902"	"Fagus crenata mRNA, clone: Fc_TUM08_16K03, 5'end sequence, expressed in inner bark."
"DC652463"	"Fagus crenata mRNA, clone: Fc_TUM08_03P01, 5'end sequence, expressed in inner bark."
"DC655445"	"Fagus crenata mRNA, clone: Fc_TUM08_12F24, 5'end sequence, expressed in inner bark."
"DC652023"	"Fagus crenata mRNA, clone: Fc_TUM08_01F02, 5'end sequence, expressed in inner bark."
"DC651998"	"Fagus crenata mRNA, clone: Fc_TUM08_01D01, 5'end sequence, expressed in inner bark."
"DC653238"	"Fagus crenata mRNA, clone: Fc_TUM08_06B17, 5'end sequence, expressed in inner bark."
"DC652545"	"Fagus crenata mRNA, clone: Fc_TUM08_04C12, 5'end sequence, expressed in inner bark."
"DC653145"	"Fagus crenata mRNA, clone: Fc_TUM08_05N13, 5'end sequence, expressed in inner bark."
"DC656435"	"Fagus crenata mRNA, clone: Fc_TUM08_15E12, 5'end sequence, expressed in inner bark."
"DC654031"	"Fagus crenata mRNA, clone: Fc_TUM08_08G01, 5'end sequence, expressed in inner bark."
"DC657213"	"Fagus crenata mRNA, clone: Fc_TUM08_17I09, 5'end sequence, expressed in inner bark."
"DC656871"	"Fagus crenata mRNA, clone: Fc_TUM08_16I14, 5'end sequence, expressed in inner bark."
"DC653682"	"Fagus crenata mRNA, clone: Fc_TUM08_07F23, 5'end sequence, expressed in inner bark."
"DC654462"	"Fagus crenata mRNA, clone: Fc_TUM08_09J14, 5'end sequence, expressed in inner bark."
"DC657260"	"Fagus crenata mRNA, clone: Fc_TUM08_17K12, 5'end sequence, expressed in inner bark."
"DC653851"	"Fagus crenata mRNA, clone: Fc_TUM08_07N24, 5'end sequence, expressed in inner bark."
"DC655552"	"Fagus crenata mRNA, clone: Fc_TUM08_12L02, 5'end sequence, expressed in inner bark."
"DC652458"	"Fagus crenata mRNA, clone: Fc_TUM08_03O19, 5'end sequence, expressed in inner bark."
"DC656473"	"Fagus crenata mRNA, clone: Fc_TUM08_15G11, 5'end sequence, expressed in inner bark."
"DC655896"	"Fagus crenata mRNA, clone: Fc_TUM08_13K19, 5'end sequence, expressed in inner bark."
"DC652174"	"Fagus crenata mRNA, clone: Fc_TUM08_03B15, 5'end sequence, expressed in inner bark."
"DC655374"	"Fagus crenata mRNA, clone: Fc_TUM08_12C14, 5'end sequence, expressed in inner bark."
"DC653549"	"Fagus crenata mRNA, clone: Fc_TUM08_06P10, 5'end sequence, expressed in inner bark."
"DC653077"	"Fagus crenata mRNA, clone: Fc_TUM08_05K07, 5'end sequence, expressed in inner bark."
"DC655119"	"Fagus crenata mRNA, clone: Fc_TUM08_11G16, 5'end sequence, expressed in inner bark."
"DC655791"	"Fagus crenata mRNA, clone: Fc_TUM08_13G01, 5'end sequence, expressed in inner bark."
"DC655266"	"Fagus crenata mRNA, clone: Fc_TUM08_11N06, 5'end sequence, expressed in inner bark."
"DC652790"	"Fagus crenata mRNA, clone: Fc_TUM08_04N07, 5'end sequence, expressed in inner bark."
"DC653112"	"Fagus crenata mRNA, clone: Fc_TUM08_05L24, 5'end sequence, expressed in inner bark."
"DC654912"	"Fagus crenata mRNA, clone: Fc_TUM08_10N12, 5'end sequence, expressed in inner bark."
"DC656864"	"Fagus crenata mRNA, clone: Fc_TUM08_16I05, 5'end sequence, expressed in inner bark."
"DC656348"	"Fagus crenata mRNA, clone: Fc_TUM08_14P08, 5'end sequence, expressed in inner bark."
"DC652018"	"Fagus crenata mRNA, clone: Fc_TUM08_01E09, 5'end sequence, expressed in inner bark."
"DC653946"	"Fagus crenata mRNA, clone: Fc_TUM08_08C04, 5'end sequence, expressed in inner bark."
"DC652704"	"Fagus crenata mRNA, clone: Fc_TUM08_04J11, 5'end sequence, expressed in inner bark."
"OM323066"	"Fagus crenata isolate HATO_14 clone 6 LEAFY protein (LEAFY) gene, partial cds."
"DC652086"	"Fagus crenata mRNA, clone: Fc_TUM08_02C11, 5'end sequence, expressed in inner bark."
"DC655337"	"Fagus crenata mRNA, clone: Fc_TUM08_12A18, 5'end sequence, expressed in inner bark."
"DC653805"	"Fagus crenata mRNA, clone: Fc_TUM08_07L24, 5'end sequence, expressed in inner bark."
"DC656105"	"Fagus crenata mRNA, clone: Fc_TUM08_14E11, 5'end sequence, expressed in inner bark."
"AB735799"	"Fagus crenata chloroplast genes for tRNA-Lys intron and maturase, haplotype: L."
"DC654595"	"Fagus crenata mRNA, clone: Fc_TUM08_09P05, 5'end sequence, expressed in inner bark."
"OM323064"	"Fagus crenata isolate HAYA_35 clone 2 LEAFY protein (LEAFY) gene, partial cds."
"DC654089"	"Fagus crenata mRNA, clone: Fc_TUM08_08I16, 5'end sequence, expressed in inner bark."
"DC655733"	"Fagus crenata mRNA, clone: Fc_TUM08_13D09, 5'end sequence, expressed in inner bark."
"DC651985"	"Fagus crenata mRNA, clone: Fc_TUM08_01B12, 5'end sequence, expressed in inner bark."
"DC653140"	"Fagus crenata mRNA, clone: Fc_TUM08_05N07, 5'end sequence, expressed in inner bark."
"DC654794"	"Fagus crenata mRNA, clone: Fc_TUM08_10I01, 5'end sequence, expressed in inner bark."
"DC657267"	"Fagus crenata mRNA, clone: Fc_TUM08_17K20, 5'end sequence, expressed in inner bark."
"DC654102"	"Fagus crenata mRNA, clone: Fc_TUM08_08J06, 5'end sequence, expressed in inner bark."
"DC652503"	"Fagus crenata mRNA, clone: Fc_TUM08_04A17, 5'end sequence, expressed in inner bark."
"DC653528"	"Fagus crenata mRNA, clone: Fc_TUM08_06O13, 5'end sequence, expressed in inner bark."
"DC653332"	"Fagus crenata mRNA, clone: Fc_TUM08_06F21, 5'end sequence, expressed in inner bark."
"DC654139"	"Fagus crenata mRNA, clone: Fc_TUM08_08K23, 5'end sequence, expressed in inner bark."
"DC653890"	"Fagus crenata mRNA, clone: Fc_TUM08_07P16, 5'end sequence, expressed in inner bark."
