accession	description
"WPW47890"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WPW47836"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79021"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WPW48092"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WPW47999"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW48050"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WPW48141"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WPW47796"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH78997"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXH78791"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH78812"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW48149"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WPW48081"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78875"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78713"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78705"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXH78774"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH78712"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXG25950"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79222"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW48136"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WPW47916"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW47961"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXH79218"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH78895"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78837"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WPW47804"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WPW48022"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW48160"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WAQ68852"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47821"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXH78730"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW47814"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH78814"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78858"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH78890"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH78711"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78787"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WPW48063"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH79020"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WPW48132"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXH79120"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH79118"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WXH78792"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH78794"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH79164"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WXH79187"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78693"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXH78755"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WXH79000"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW48045"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW47808"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WPW47812"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WPW47891"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WPW47897"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WPW47928"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH78836"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW47998"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW48055"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXG25929"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78919"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"QNU39839"	"Fagus crenata (Japanese beech) envelope membrane protein"
"WXH79116"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WPW47886"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WPW48104"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW47985"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WPW48060"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WPW47810"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WPW47776"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW47878"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WPW47918"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WPW47975"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WPW47919"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW48125"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WPW48124"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WPW48145"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78751"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"QBB88694"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW47879"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXH79045"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXH78972"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH79104"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH79204"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXG25944"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXG25945"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXH79117"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH79105"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH79138"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH79152"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH79060"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78786"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WXG25921"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WXG25877"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXG25922"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXG25933"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WAQ68846"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68835"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68841"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"BAG75111"	"Fagus crenata (Japanese beech) transcription factor MYB811"
"WAQ68850"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QBB88654"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WPW47881"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW47898"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW47816"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW47977"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WAQ68855"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47996"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"QBB88671"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WAQ68834"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW48042"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WPW48082"	"Fagus crenata (Japanese beech) ribosomal protein L2"
