accession	description
"WXH78815"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH79034"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WXH79079"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXH78824"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH78953"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH79083"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WXH78868"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WXH78915"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXH78864"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXH78958"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78961"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH79121"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79028"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXH78954"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WXH79184"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH79198"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WXG25930"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78707"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH78856"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXG25948"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH79033"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXH78808"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH79137"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXG25890"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WXH79199"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH78946"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXG25928"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78789"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH79043"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78979"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH79202"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH78795"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78728"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78809"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXH78873"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH78877"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78892"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78963"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXH78974"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH79036"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WXH79161"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXH79185"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXH78777"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78956"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH79061"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH79142"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79038"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH79039"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78754"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WXH78797"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78813"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78833"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXH78810"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78799"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WPW47912"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WPW47913"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WPW48143"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79207"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78939"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXG25946"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78871"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH78940"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH79070"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH78695"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78709"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH78788"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WXH78733"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78669"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXH78710"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH78732"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXG25886"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXG25917"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXG25868"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78988"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH79001"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WXH79040"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH79192"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXH78906"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH79035"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH78859"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH79136"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH78874"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXH79110"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXH78704"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WXH78742"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH78897"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78959"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW47798"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH78894"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXG25912"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW47995"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXH79127"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WPW48010"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WXH79196"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WXH79143"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW47755"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78957"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78978"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79056"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH79114"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WXH79201"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH79203"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78876"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW48162"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW47855"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXG25889"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WXG25926"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXG25909"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH78870"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WPW47940"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW47978"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WPW48080"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW48057"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH79119"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH79123"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH79209"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXG25927"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WXG25935"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WPW47893"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WXH78918"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WXH79219"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXH79055"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXH79141"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH79197"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WPW48159"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WPW47968"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WPW47979"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78726"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH78727"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXG25910"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WPW48067"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXH78694"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WPW48158"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH79224"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78941"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH78955"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH79032"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"QNU39857"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"ANV28313"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QNU39841"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"ANV28309"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47837"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW48023"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WPW48056"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WXH79058"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW47903"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXH78775"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXG25924"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WPW48144"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW48163"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78891"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXH78950"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WXH79200"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WXH78782"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXH78879"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78692"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH78790"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WPW47797"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WPW47976"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"QNU39801"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW47773"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXG25925"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WXH78673"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WXH78881"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXG25911"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH79205"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78872"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WXH78869"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXH79102"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH78977"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXG25932"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78672"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WXH78706"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WXH78951"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXH78700"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WXH78717"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WXH79023"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXH79059"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH79041"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78731"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH79037"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH78973"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WXH79186"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"QNU39874"	"Fagus crenata (Japanese beech) photosystem II protein L"
"BBN45381"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45278"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45366"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45240"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WXH79024"	"Fagus crenata (Japanese beech) clp protease proteolytic subunit"
"WPW47770"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"WPW48011"	"Fagus crenata (Japanese beech) RNA polymerase beta'' subunit"
"WXH78965"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"WPW47823"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"WPW48012"	"Fagus crenata (Japanese beech) RNA polymerase beta' subunit"
"WPW48013"	"Fagus crenata (Japanese beech) RNA polymerase beta subunit"
"WPW48018"	"Fagus crenata (Japanese beech) photosystem II protein Z"
"WPW48135"	"Fagus crenata (Japanese beech) RNA polymerase alpha subunit"
"WXH78994"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"WXH78698"	"Fagus crenata (Japanese beech) photosystem II protein T"
"WXG25938"	"Fagus crenata (Japanese beech) photosystem I subunit VII"
"WPW47930"	"Fagus crenata (Japanese beech) RNA polymerase beta' subunit"
"WPW47934"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"WPW47767"	"Fagus crenata (Japanese beech) RNA polymerase beta subunit"
"WXH78691"	"Fagus crenata (Japanese beech) photosystem I subunit IX"
"WXH78945"	"Fagus crenata (Japanese beech) photosystem II protein N"
"WPW47769"	"Fagus crenata (Japanese beech) photosystem II protein M"
"WPW48098"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"WXH78778"	"Fagus crenata (Japanese beech) clp protease proteolytic subunit"
"WXH78847"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"WXH78855"	"Fagus crenata (Japanese beech) photosystem I subunit IX"
"BBN45349"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WPW48128"	"Fagus crenata (Japanese beech) clp protease proteolytic subunit"
"WXH79047"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"WXH79195"	"Fagus crenata (Japanese beech) RNA polymerase alpha subunit"
"WXH78734"	"Fagus crenata (Japanese beech) photosystem II protein D1"
"WXH78765"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"BBN45345"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WXH78983"	"Fagus crenata (Japanese beech) photosystem II protein I"
"BBN45360"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WXH79146"	"Fagus crenata (Japanese beech) photosystem II protein K"
"BAG74487"	"Fagus crenata (Japanese beech) partial transcription factor MYBP2"
"WXH78683"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"WXH79072"	"Fagus crenata (Japanese beech) RNA polymerase beta' subunit"
"WXH79153"	"Fagus crenata (Japanese beech) RNA polymerase beta'' subunit"
"WXH79212"	"Fagus crenata (Japanese beech) photosystem I subunit VII"
"WXH78773"	"Fagus crenata (Japanese beech) photosystem I subunit IX"
"WXH78768"	"Fagus crenata (Japanese beech) photosystem II protein L"
"WPW48087"	"Fagus crenata (Japanese beech) photosystem II protein I"
"WPW48097"	"Fagus crenata (Japanese beech) photosystem II protein M"
"WPW47931"	"Fagus crenata (Japanese beech) RNA polymerase beta subunit"
"WPW48086"	"Fagus crenata (Japanese beech) photosystem II protein K"
"WXG25915"	"Fagus crenata (Japanese beech) photosystem II protein T"
"WXG25920"	"Fagus crenata (Japanese beech) RNA polymerase alpha subunit"
"BBN45363"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WPW47967"	"Fagus crenata (Japanese beech) photosystem II protein N"
"WPW47966"	"Fagus crenata (Japanese beech) photosystem II protein T"
"WPW47959"	"Fagus crenata (Japanese beech) photosystem I subunit IX"
"WPW48069"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"WPW48093"	"Fagus crenata (Japanese beech) RNA polymerase beta'' subunit"
"WPW47800"	"Fagus crenata (Japanese beech) clp protease proteolytic subunit"
"WPW47847"	"Fagus crenata (Japanese beech) RNA polymerase beta'' subunit"
"WPW47785"	"Fagus crenata (Japanese beech) photosystem I subunit VIII"
"WXG25902"	"Fagus crenata (Japanese beech) photosystem II protein J"
"WXH78991"	"Fagus crenata (Japanese beech) RNA polymerase beta subunit"
"WXG25879"	"Fagus crenata (Japanese beech) RNA polymerase beta' subunit"
"WXH79091"	"Fagus crenata (Japanese beech) photosystem I subunit VIII"
"WXH79173"	"Fagus crenata (Japanese beech) photosystem I subunit VIII"
"WXH78662"	"Fagus crenata (Japanese beech) RNA polymerase beta' subunit"
"WPW48048"	"Fagus crenata (Japanese beech) photosystem II protein T"
"WPW48046"	"Fagus crenata (Japanese beech) clp protease proteolytic subunit"
"QBB88645"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"BAG74542"	"Fagus crenata (Japanese beech) partial transcription factor MYB303B"
"WPW48130"	"Fagus crenata (Japanese beech) photosystem II protein T"
"QBB88660"	"Fagus crenata (Japanese beech) photosystem II protein T"
"BAG74557"	"Fagus crenata (Japanese beech) partial transcription factor MYB572"
"BAI48057"	"Fagus crenata (Japanese beech) partial transcription factor MYBR13"
"BAG74481"	"Fagus crenata (Japanese beech) partial transcription factor MYBM2"
"BAG74474"	"Fagus crenata (Japanese beech) partial transcription factor MYBS15"
"WPW47852"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"WPW48016"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"QBB88617"	"Fagus crenata (Japanese beech) photosystem II protein K"
"WAQ68636"	"Fagus crenata (Japanese beech) partial CRABS CLAW protein"
"BBN45383"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WPW48100"	"Fagus crenata (Japanese beech) photosystem II protein Z"
"BAG75112"	"Fagus crenata (Japanese beech) partial transcription factor MYB828"
"WPW48002"	"Fagus crenata (Japanese beech) photosystem II protein D1"
"BAG74550"	"Fagus crenata (Japanese beech) partial transcription factor MYB330"
"BAI48063"	"Fagus crenata (Japanese beech) partial transcription factor MYBST1"
"BBN45337"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WAQ68618"	"Fagus crenata (Japanese beech) partial CRABS CLAW protein"
"WPW47872"	"Fagus crenata (Japanese beech) photosystem II protein L"
"WAQ68628"	"Fagus crenata (Japanese beech) partial CRABS CLAW protein"
"BAP28174"	"Fagus crenata (Japanese beech) MADS-box transcription factor"
"WAQ68627"	"Fagus crenata (Japanese beech) partial CRABS CLAW protein"
"BAG74545"	"Fagus crenata (Japanese beech) partial transcription factor MYB408"
"WXH79026"	"Fagus crenata (Japanese beech) photosystem II protein T"
"WXG25885"	"Fagus crenata (Japanese beech) photosystem II protein Z"
"WXH79093"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"WXH79096"	"Fagus crenata (Japanese beech) photosystem II protein L"
"BAG75106"	"Fagus crenata (Japanese beech) partial transcription factor MYB680"
"WXH78830"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"WXH78827"	"Fagus crenata (Japanese beech) RNA polymerase beta subunit"
"WXH78863"	"Fagus crenata (Japanese beech) photosystem II protein N"
"WXH78931"	"Fagus crenata (Japanese beech) photosystem II protein J"
"WXH78944"	"Fagus crenata (Japanese beech) photosystem II protein T"
"WPW47988"	"Fagus crenata (Japanese beech) photosystem I subunit VII"
"WPW47920"	"Fagus crenata (Japanese beech) photosystem II protein D1"
"WPW48004"	"Fagus crenata (Japanese beech) photosystem II protein K"
"WPW48151"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"WPW47838"	"Fagus crenata (Japanese beech) photosystem II protein D1"
"BAG74466"	"Fagus crenata (Japanese beech) partial transcription factor MYBS7"
"BAI48062"	"Fagus crenata (Japanese beech) partial transcription factor MYBFL1"
"BAG74530"	"Fagus crenata (Japanese beech) partial transcription factor MYBH1"
"WPW47790"	"Fagus crenata (Japanese beech) photosystem II protein L"
"WPW47851"	"Fagus crenata (Japanese beech) photosystem II protein M"
"QNU39879"	"Fagus crenata (Japanese beech) photosystem II protein M"
"WPW48035"	"Fagus crenata (Japanese beech) photosystem II protein J"
"WPW47766"	"Fagus crenata (Japanese beech) RNA polymerase beta' subunit"
"WPW47877"	"Fagus crenata (Japanese beech) photosystem I subunit IX"
"WPW48033"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"WPW48053"	"Fagus crenata (Japanese beech) RNA polymerase alpha subunit"
"BAG74532"	"Fagus crenata (Japanese beech) partial transcription factor MYBH3"
"WPW47758"	"Fagus crenata (Japanese beech) photosystem II protein K"
"WPW47854"	"Fagus crenata (Japanese beech) photosystem II protein Z"
"WPW48152"	"Fagus crenata (Japanese beech) photosystem I subunit VII"
"QBB88631"	"Fagus crenata (Japanese beech) photosystem II protein Z"
"WPW47759"	"Fagus crenata (Japanese beech) photosystem II protein I"
"BAG74511"	"Fagus crenata (Japanese beech) partial transcription factor MYBC5"
"BAI48056"	"Fagus crenata (Japanese beech) partial transcription factor MYBFL2"
"BAG74465"	"Fagus crenata (Japanese beech) partial transcription factor MYBS6"
"BAG74484"	"Fagus crenata (Japanese beech) partial transcription factor MYBM5"
"BBN45398"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BAG74534"	"Fagus crenata (Japanese beech) partial transcription factor MYBH5"
"BAG74522"	"Fagus crenata (Japanese beech) partial transcription factor MYBD3"
"BAI48054"	"Fagus crenata (Japanese beech) partial transcription factor MYBFL34"
"BAG74480"	"Fagus crenata (Japanese beech) partial transcription factor MYBM1"
"BAG74483"	"Fagus crenata (Japanese beech) partial transcription factor MYBM4"
"BAG74513"	"Fagus crenata (Japanese beech) partial transcription factor MYBC7"
"BAG74537"	"Fagus crenata (Japanese beech) partial transcription factor MYB179B"
"BAI48064"	"Fagus crenata (Japanese beech) partial transcription factor MYBFL15"
"BAI48069"	"Fagus crenata (Japanese beech) partial transcription factor MYBFL4"
"QBB88658"	"Fagus crenata (Japanese beech) clp protease proteolytic subunit"
"BAG74510"	"Fagus crenata (Japanese beech) partial transcription factor MYBC4"
"BAG74472"	"Fagus crenata (Japanese beech) partial transcription factor MYBS13"
"BAG74556"	"Fagus crenata (Japanese beech) partial transcription factor MYB499"
"BAG74547"	"Fagus crenata (Japanese beech) partial transcription factor MYB275"
"WAQ68635"	"Fagus crenata (Japanese beech) partial CRABS CLAW protein"
"BAG74536"	"Fagus crenata (Japanese beech) partial transcription factor MYB179A"
"BAG74460"	"Fagus crenata (Japanese beech) partial transcription factor MYBS1"
"BAG74549"	"Fagus crenata (Japanese beech) partial transcription factor MYB313"
"WAQ68629"	"Fagus crenata (Japanese beech) partial CRABS CLAW protein"
"BAG74469"	"Fagus crenata (Japanese beech) partial transcription factor MYBS10"
"WPW48115"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"WPW47905"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"BAG74559"	"Fagus crenata (Japanese beech) partial transcription factor MYB652"
"WPW47803"	"Fagus crenata (Japanese beech) photosystem II protein N"
"WPW47869"	"Fagus crenata (Japanese beech) chloroplast envelope membrane protein"
"BBN45239"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"QBB88615"	"Fagus crenata (Japanese beech) photosystem II protein D1"
"WPW48118"	"Fagus crenata (Japanese beech) photosystem II protein L"
"BBN45312"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"WXH79019"	"Fagus crenata (Japanese beech) photosystem I subunit IX"
"WXH79065"	"Fagus crenata (Japanese beech) photosystem II protein I"
"WXH79076"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"WXH79078"	"Fagus crenata (Japanese beech) photosystem II protein Z"
"WXH79108"	"Fagus crenata (Japanese beech) photosystem II protein T"
"WXH79130"	"Fagus crenata (Japanese beech) photosystem I subunit VII"
"WXH79129"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"WPW47756"	"Fagus crenata (Japanese beech) photosystem II protein D1"
"WXH78661"	"Fagus crenata (Japanese beech) RNA polymerase beta'' subunit"
"QNU39872"	"Fagus crenata (Japanese beech) photosystem II protein J"
"QNU39878"	"Fagus crenata (Japanese beech) photosystem I subunit VIII"
"QNU39864"	"Fagus crenata (Japanese beech) photosystem II protein H"
"BBN45234"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45236"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45257"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45376"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"QNU39816"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4"
"QNU39855"	"Fagus crenata (Japanese beech) NADH dehydrogenase subunit 4L"
"BAI48055"	"Fagus crenata (Japanese beech) partial transcription factor MYBR7"
"QNU39832"	"Fagus crenata (Japanese beech) photosystem II protein D2"
"QNU39805"	"Fagus crenata (Japanese beech) RNA polymerase beta'' subunit"
"BBN45298"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45354"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45301"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45390"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45266"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45255"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45328"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45378"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45305"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45379"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45399"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45271"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45367"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45262"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45340"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45369"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45311"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45329"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
"BBN45347"	"Fagus crenata (Japanese beech) partial transcription factor FcMYB1603"
